item_id,Title,Director,Stars,IMDB,Category,Duration,Censor,Released,videoID,thumbnail,Final Emotion
48,Ghostbusters,IvanReitman,"BillMurray, DanAykroyd, SigourneyWeaver, HaroldRamis",7.8,"Action,Comedy,Fantasy",105min,UA,1984,ahZFCF--uRY,https://img.youtube.com/vi/ahZFCF--uRY/maxresdefault.jpg,Angry
49,Inglourious Basterds,QuentinTarantino,"BradPitt, DianeKruger, EliRoth, MélanieLaurent",8.3,"Adventure,Drama,War",153min,A,2009,KnrRy6kSFF0,https://img.youtube.com/vi/KnrRy6kSFF0/maxresdefault.jpg,Neutral
50,Léon,LucBesson,"JeanReno, GaryOldman, NataliePortman, DannyAiello",8.5,"Action,Crime,Drama",110min,A,1994,b'E_k5_dI_Xh0',https://img.youtube.com/vi/b'E_k5_dI_Xh0'/maxresdefault.jpg,Angry
51,Schindlers List,StevenSpielberg,"LiamNeeson, RalphFiennes, BenKingsley, CarolineGoodall",9,"Biography,Drama,History",195min,A,1993,gG22XNhtnoY,https://img.youtube.com/vi/gG22XNhtnoY/maxresdefault.jpg,Neutral
52,The Lord of the Rings: The Fellowship of the Ring,PeterJackson,"ElijahWood, IanMcKellen, OrlandoBloom, SeanBean",8.8,"Action,Adventure,Drama",178min,U,2001,V75dMMIW2B4,https://img.youtube.com/vi/V75dMMIW2B4/maxresdefault.jpg,Angry
53,The Silence of the Lambs,JonathanDemme,"JodieFoster, AnthonyHopkins, LawrenceA.Bonney, KasiLemmons",8.6,"Crime,Drama,Thriller",118min,A,1991,W6Mm8Sbe__o,https://img.youtube.com/vi/W6Mm8Sbe__o/maxresdefault.jpg,Angry
54,Avengers: Infinity War,"AnthonyRusso,",", RobertDowneyJr., ChrisHemsworth, MarkRuffalo, ChrisEvans",8.4,"Action,Adventure,Sci-Fi",149min,UA,2018,6ZfuNTqbHE8,https://img.youtube.com/vi/6ZfuNTqbHE8/maxresdefault.jpg,Angry
55,Gisaengchung,BongJoonHo,"SongKang-ho, Sun-kyunLee, ChoYeo-jeong, ChoiWoo-sik",8.5,"Comedy,Drama,Thriller",132min,A,2019,w_0KJAzyUJc,https://img.youtube.com/vi/w_0KJAzyUJc/maxresdefault.jpg,Sad
56,Paddington 2,PaulKing,"BenWhishaw, HughGrant, HughBonneville, SallyHawkins",7.8,"Adventure,Comedy,Family",103min,U,2017,sw7RElt-SvE,https://img.youtube.com/vi/sw7RElt-SvE/maxresdefault.jpg,Happy
57,The Wizard of Oz,"VictorFleming,","MervynLeRoy, NormanTaurog, RichardThorpe, KingVidor, , JudyGarland, FrankMorgan, RayBolger, BertLahr",8.1,"Adventure,Family,Fantasy",102min,U,1939,v4EzVo1poUs,https://img.youtube.com/vi/v4EzVo1poUs/maxresdefault.jpg,Happy
58,Thor: Ragnarok,TaikaWaititi,"ChrisHemsworth, TomHiddleston, CateBlanchett, MarkRuffalo",7.9,"Action,Adventure,Comedy",130min,UA,2017,ue80QwXMRHg,https://img.youtube.com/vi/ue80QwXMRHg/maxresdefault.jpg,Angry
59,Tombstone,"GeorgeP.Cosmatos,",", KurtRussell, ValKilmer, SamElliott, BillPaxton",7.8,"Biography,Drama,History",130min,UA,1993,MICPyrnGYwg,https://img.youtube.com/vi/MICPyrnGYwg/maxresdefault.jpg,Neutral
60,Zack Snyders Justice League,ZackSnyder,"HenryCavill, BenAffleck, GalGadot, AmyAdams",8,"Action,Adventure,Fantasy",242min,18,2021,vM-Bja2Gy04,https://img.youtube.com/vi/vM-Bja2Gy04/maxresdefault.jpg,Angry
61,Edward Scissorhands,TimBurton,"JohnnyDepp, WinonaRyder, DianneWiest, AnthonyMichaelHall",7.9,"Drama,Fantasy,Romance",105min,U,1990,lvxUkzfVACc,https://img.youtube.com/vi/lvxUkzfVACc/maxresdefault.jpg,Happy
62,Deadpool,TimMiller,"RyanReynolds, MorenaBaccarin, T.J.Miller, EdSkrein",8,"Action,Adventure,Comedy",108min,R,2016,Sy8nPI85Ih4,https://img.youtube.com/vi/Sy8nPI85Ih4/maxresdefault.jpg,Angry
63,Bohemian Rhapsody,BryanSinger,"RamiMalek, LucyBoynton, GwilymLee, BenHardy",7.9,"Biography,Drama,Music",134min,UA,2018,uCVDd0wMYXk,https://img.youtube.com/vi/uCVDd0wMYXk/maxresdefault.jpg,Happy
64,Guardians of the Galaxy,JamesGunn,"ChrisPratt, VinDiesel, BradleyCooper, ZoeSaldana",8,"Action,Adventure,Comedy",121min,UA,2014,VHUKdKn7h8I,https://img.youtube.com/vi/VHUKdKn7h8I/maxresdefault.jpg,Angry
65,Alien,RidleyScott,"SigourneyWeaver, TomSkerritt, JohnHurt, VeronicaCartwright",8.5,"Horror,Sci-Fi",117min,R,1979,svnAD0TApb8,https://img.youtube.com/vi/svnAD0TApb8/maxresdefault.jpg,Neutral
66,Star Wars: Episode VII - The Force Awakens,J.J.Abrams,"DaisyRidley, JohnBoyega, OscarIsaac, DomhnallGleeson",7.8,"Action,Adventure,Sci-Fi",138min,U,2015,sGbxmsDFVnE,https://img.youtube.com/vi/sGbxmsDFVnE/maxresdefault.jpg,Angry
67,Django Unchained,QuentinTarantino,"JamieFoxx, ChristophWaltz, LeonardoDiCaprio, KerryWashington",8.4,"Drama,Western",165min,A,2012,0fUCuvNlOCg,https://img.youtube.com/vi/0fUCuvNlOCg/maxresdefault.jpg,Neutral
68,Se7en,DavidFincher,"MorganFreeman, BradPitt, KevinSpacey, AndrewKevinWalker",8.6,"Crime,Drama,Mystery",127min,A,1995,znmZoVkCjpI,https://img.youtube.com/vi/znmZoVkCjpI/maxresdefault.jpg,Angry
69,Star Wars: Episode VI - Return of the Jedi,RichardMarquand,"MarkHamill, HarrisonFord, CarrieFisher, BillyDeeWilliams",8.3,"Action,Adventure,Fantasy",131min,U,1983,qQB2NXfJev0,https://img.youtube.com/vi/qQB2NXfJev0/maxresdefault.jpg,Angry
70,Predator,JohnMcTiernan,"ArnoldSchwarzenegger, CarlWeathers, KevinPeterHall, ElpidiaCarrillo",7.8,"Action,Adventure,Horror",107min,A,1987,EMMMTobAyLs,https://img.youtube.com/vi/EMMMTobAyLs/maxresdefault.jpg,Angry
71,Gone Girl,DavidFincher,"BenAffleck, RosamundPike, NeilPatrickHarris, TylerPerry",8.1,"Drama,Mystery,Thriller",149min,A,2014,2-_-1nJf8Vg,https://img.youtube.com/vi/2-_-1nJf8Vg/maxresdefault.jpg,Sad
72,Get Out,JordanPeele,"DanielKaluuya, AllisonWilliams, BradleyWhitford, CatherineKeener",7.7,"Horror,Mystery,Thriller",104min,15+,2017,DzfpyUB60YY,https://img.youtube.com/vi/DzfpyUB60YY/maxresdefault.jpg,Sad
73,Apocalypse Now,FrancisFordCoppola,"MartinSheen, MarlonBrando, RobertDuvall, FredericForrest",8.5,"Drama,Mystery,War",147min,R,1979,9l-ViOOFH-s,https://img.youtube.com/vi/9l-ViOOFH-s/maxresdefault.jpg,Angry
74,300,ZackSnyder,"GerardButler, LenaHeadey, DavidWenham, DominicWest",7.6,"Action,Drama",117min,A,2006,VeK-d553Mjk,https://img.youtube.com/vi/VeK-d553Mjk/maxresdefault.jpg,Angry
75,The Empire Strikes Back,IrvinKershner,"MarkHamill, HarrisonFord, CarrieFisher, BillyDeeWilliams",8.7,"Action,Adventure,Fantasy",124min,UA,1980,JNwNXF9Y6kY,https://img.youtube.com/vi/JNwNXF9Y6kY/maxresdefault.jpg,Angry
76,Kingsman: The Secret Service,MatthewVaughn,"ColinFirth, TaronEgerton, SamuelL.Jackson, MichaelCaine",7.7,"Action,Adventure,Comedy",129min,A,2014,5BM1UALsOfc,https://img.youtube.com/vi/5BM1UALsOfc/maxresdefault.jpg,Angry
77,The Matrix,"LanaWachowski,",", KeanuReeves, LaurenceFishburne, Carrie-AnneMoss, HugoWeaving",8.7,"Action,Sci-Fi",136min,A,1999,vKQi3bBA1y8,https://img.youtube.com/vi/vKQi3bBA1y8/maxresdefault.jpg,Angry
78,Gladiator,RidleyScott,"RussellCrowe, JoaquinPhoenix, ConnieNielsen, OliverReed",8.5,"Action,Adventure,Drama",155min,UA,2000,KLz_tKXHXgw,https://img.youtube.com/vi/KLz_tKXHXgw/maxresdefault.jpg,Angry
79,The Breakfast Club,JohnHughes,"EmilioEstevez, JuddNelson, MollyRingwald, AllySheedy",7.8,"Comedy,Drama",97min,UA,1985,p17TDzKalJU,https://img.youtube.com/vi/p17TDzKalJU/maxresdefault.jpg,Happy
80,Hacksaw Ridge,MelGibson,"AndrewGarfield, SamWorthington, LukeBracey, TeresaPalmer",8.1,"Biography,Drama,History",139min,A,2016,s2-1hz1juBI,https://img.youtube.com/vi/s2-1hz1juBI/maxresdefault.jpg,Neutral
81,Her,SpikeJonze,"JoaquinPhoenix, AmyAdams, ScarlettJohansson, RooneyMara",8,"Drama,Romance,Sci-Fi",126min,A,2013,868laZvHrpo,https://img.youtube.com/vi/868laZvHrpo/maxresdefault.jpg,Happy
82,The Dark Knight Rises,ChristopherNolan,"ChristianBale, TomHardy, AnneHathaway, GaryOldman",8.4,"Action,Drama",164min,UA,2012,GokKUqLcvD8,https://img.youtube.com/vi/GokKUqLcvD8/maxresdefault.jpg,Angry
83,Mad Max: Fury Road,GeorgeMiller,"TomHardy, CharlizeTheron, NicholasHoult, ZoëKravitz",8.1,"Action,Adventure,Sci-Fi",120min,UA,2015,UtjGTrVwRr4,https://img.youtube.com/vi/UtjGTrVwRr4/maxresdefault.jpg,Angry
84,Once Upon a Time in America,SergioLeone,"RobertDeNiro, JamesWoods, ElizabethMcGovern, TreatWilliams",8.3,"Crime,Drama",229min,A,1984,_APmVdXm4Xw,https://img.youtube.com/vi/_APmVdXm4Xw/maxresdefault.jpg,Angry
85,Prisoners,DenisVilleneuve,"HughJackman, JakeGyllenhaal, ViolaDavis, MelissaLeo",8.1,"Crime,Drama,Mystery",153min,A,2013,bpXfcTF6iVk,https://img.youtube.com/vi/bpXfcTF6iVk/maxresdefault.jpg,Angry
86,Call Me by Your Name,LucaGuadagnino,"ArmieHammer, TimothéeChalamet, MichaelStuhlbarg, AmiraCasar",7.8,"Drama,Romance",132min,UA,2017,6swmTBVI83k,https://img.youtube.com/vi/6swmTBVI83k/maxresdefault.jpg,Happy
87,Ford v Ferrari,JamesMangold,"MattDamon, ChristianBale, JonBernthal, CaitríonaBalfe",8.1,"Action,Biography,Drama",152min,UA,2019,zyYgDtY2AMY,https://img.youtube.com/vi/zyYgDtY2AMY/maxresdefault.jpg,Angry
88,The Irishman,MartinScorsese,"RobertDeNiro, AlPacino, JoePesci, HarveyKeitel",7.8,"Biography,Crime,Drama",209min,16,2019,WHXxVmeGQUc,https://img.youtube.com/vi/WHXxVmeGQUc/maxresdefault.jpg,Angry
89,Black Swan,DarrenAronofsky,"NataliePortman, MilaKunis, VincentCassel, WinonaRyder",8,"Drama,Thriller",108min,A,2010,0lapF4DQPKQ,https://img.youtube.com/vi/0lapF4DQPKQ/maxresdefault.jpg,Sad
90,Full Metal Jacket,StanleyKubrick,"MatthewModine, R.LeeErmey, ""VincentDOnofrio,"", AdamBaldwin",8.3,"Drama,War",116min,UA,1987,n2i917l5RFc,https://img.youtube.com/vi/n2i917l5RFc/maxresdefault.jpg,Angry
91,Harry Potter and the Deathly Hallows: Part 1,DavidYates,"DanielRadcliffe, EmmaWatson, RupertGrint, BillNighy",7.7,"Adventure,Family,Fantasy",146min,UA,2010,YZqbLr3hbgY,https://img.youtube.com/vi/YZqbLr3hbgY/maxresdefault.jpg,Happy
92,No Country for Old Men,"EthanCoen,",", TommyLeeJones, JavierBardem, JoshBrolin, WoodyHarrelson",8.2,"Crime,Drama,Thriller",122min,18,2007,38A__WT3-o0,https://img.youtube.com/vi/38A__WT3-o0/maxresdefault.jpg,Angry
93,A Few Good Men,RobReiner,"TomCruise, JackNicholson, DemiMoore, KevinBacon",7.7,"Drama,Thriller",138min,U,1992,2sLcfQKU_co,https://img.youtube.com/vi/2sLcfQKU_co/maxresdefault.jpg,Sad
94,Ex Machina,AlexGarland,"AliciaVikander, DomhnallGleeson, OscarIsaac, SonoyaMizuno",7.7,"Drama,Sci-Fi,Thriller",108min,UA,2014,EoQuVnKhxaM,https://img.youtube.com/vi/EoQuVnKhxaM/maxresdefault.jpg,Sad
95,Guardians of the Galaxy Vol. 2,JamesGunn,"ChrisPratt, ZoeSaldana, DaveBautista, VinDiesel",7.6,"Action,Adventure,Comedy",136min,UA,2017,Kt-tLuszKBA,https://img.youtube.com/vi/Kt-tLuszKBA/maxresdefault.jpg,Angry
96,Scarface,BrianDePalma,"AlPacino, MichellePfeiffer, StevenBauer, MaryElizabethMastrantonio",8.3,"Crime,Drama",170min,A,1983,X9cWhCU-Fq0,https://img.youtube.com/vi/X9cWhCU-Fq0/maxresdefault.jpg,Angry
97,Blade Runner,RidleyScott,"HarrisonFord, RutgerHauer, SeanYoung, EdwardJamesOlmos",8.1,"Action,Drama,Sci-Fi",117min,UA,1982,gCcx85zbxz4,https://img.youtube.com/vi/gCcx85zbxz4/maxresdefault.jpg,Angry
98,Aliens,JamesCameron,"SigourneyWeaver, MichaelBiehn, CarrieHenn, PaulReiser",8.4,"Action,Adventure,Sci-Fi",137min,U,1986,Wkdy23MANqY,https://img.youtube.com/vi/Wkdy23MANqY/maxresdefault.jpg,Angry
99,Shutter Island,MartinScorsese,"LeonardoDiCaprio, EmilyMortimer, MarkRuffalo, BenKingsley",8.2,"Mystery,Thriller",138min,A,2010,A4yc5sp_qP8,https://img.youtube.com/vi/A4yc5sp_qP8/maxresdefault.jpg,Sad
100,Moneyball,BennettMiller,"BradPitt, RobinWright, JonahHill, PhilipSeymourHoffman",7.6,"Biography,Drama,Sport",133min,13,2011,-4QPVo0UIzc,https://img.youtube.com/vi/-4QPVo0UIzc/maxresdefault.jpg,Neutral
101,Deadpool 2,DavidLeitch,"RyanReynolds, JoshBrolin, MorenaBaccarin, JulianDennison",7.7,"Action,Adventure,Comedy",119min,R,2018,ujXch_dqiEc,https://img.youtube.com/vi/ujXch_dqiEc/maxresdefault.jpg,Angry
102,Spider-Man: Into the Spider-Verse,"BobPersichetti,","RodneyRothman, , ShameikMoore, JakeJohnson, HaileeSteinfeld, MahershalaAli",8.4,"Animation,Action,Adventure",117min,U,2018,g4Hbz2jLxvQ,https://img.youtube.com/vi/g4Hbz2jLxvQ/maxresdefault.jpg,Angry
103,Stand by Me,RobReiner,"WilWheaton, RiverPhoenix, CoreyFeldman, ""JerryOConnell""",8.1,"Adventure,Drama",89min,U,1986,7rZyI7kPZMI,https://img.youtube.com/vi/7rZyI7kPZMI/maxresdefault.jpg,Happy
104,The Princess Bride,RobReiner,"CaryElwes, MandyPatinkin, RobinWright, ChrisSarandon",8,"Adventure,Family,Fantasy",98min,U,1987,O3CIXEAjcc8,https://img.youtube.com/vi/O3CIXEAjcc8/maxresdefault.jpg,Happy
105,The Green Mile,FrankDarabont,"TomHanks, MichaelClarkeDuncan, DavidMorse, BonnieHunt",8.6,"Crime,Drama,Fantasy",189min,UA,1999,Ki4haFrqSrw,https://img.youtube.com/vi/Ki4haFrqSrw/maxresdefault.jpg,Angry
106,Jojo Rabbit,TaikaWaititi,"RomanGriffinDavis, ThomasinMcKenzie, ScarlettJohansson, TaikaWaititi",7.9,"Comedy,Drama,War",108min,UA,2019,tL4McUzXfFI,https://img.youtube.com/vi/tL4McUzXfFI/maxresdefault.jpg,Neutral
107,12 Angry Men,SidneyLumet,"HenryFonda, LeeJ.Cobb, MartinBalsam, JohnFiedler",9,"Crime,Drama",96min,U,1957,mLrPhR0Gzn4,https://img.youtube.com/vi/mLrPhR0Gzn4/maxresdefault.jpg,Angry
108,Casino Royale,MartinCampbell,"DanielCraig, EvaGreen, JudiDench, JeffreyWright",8,"Action,Adventure,Thriller",144min,UA,2006,36mnx8dBbGE,https://img.youtube.com/vi/36mnx8dBbGE/maxresdefault.jpg,Neutral
109,In Bruges,MartinMcDonagh,"ColinFarrell, BrendanGleeson, CiaránHinds, ElizabethBerrington",7.9,"Comedy,Crime,Drama",107min,R,2008,p-gG2qo_l_A,https://img.youtube.com/vi/p-gG2qo_l_A/maxresdefault.jpg,Angry
110,Pride & Prejudice,JoeWright,"KeiraKnightley, MatthewMacfadyen, BrendaBlethyn, DonaldSutherland",7.8,"Drama,Romance",129min,13,2005,IN0CAapgP0E,https://img.youtube.com/vi/IN0CAapgP0E/maxresdefault.jpg,Happy
111,Edge of Tomorrow,DougLiman,"TomCruise, EmilyBlunt, BillPaxton, BrendanGleeson",7.9,"Action,Adventure,Sci-Fi",113min,UA,2014,vw61gCe2oqI,https://img.youtube.com/vi/vw61gCe2oqI/maxresdefault.jpg,Angry
112,The Lord of the Rings: The Return of the King,PeterJackson,"ElijahWood, ViggoMortensen, IanMcKellen, OrlandoBloom",9,"Action,Adventure,Drama",201min,U,2003,r5X-hFf6Bwo,https://img.youtube.com/vi/r5X-hFf6Bwo/maxresdefault.jpg,Angry
113,The Godfather Part III,FrancisFordCoppola,"AlPacino, DianeKeaton, AndyGarcia, TaliaShire",7.6,"Crime,Drama",162min,A,1990,UUkG37KSWf0,https://img.youtube.com/vi/UUkG37KSWf0/maxresdefault.jpg,Angry
114,Harry Potter and the Goblet of Fire,MikeNewell,"DanielRadcliffe, EmmaWatson, RupertGrint, EricSykes",7.7,"Adventure,Family,Fantasy",157min,UA,2005,3EGojp4Hh6I,https://img.youtube.com/vi/3EGojp4Hh6I/maxresdefault.jpg,Happy
115,The Prestige,ChristopherNolan,"ChristianBale, HughJackman, ScarlettJohansson, MichaelCaine",8.5,"Drama,Mystery,Sci-Fi",130min,U,2006,RLtaA9fFNXU,https://img.youtube.com/vi/RLtaA9fFNXU/maxresdefault.jpg,Sad
116,Dunkirk,ChristopherNolan,"FionnWhitehead, BarryKeoghan, MarkRylance, TomHardy",7.8,"Action,Drama,History",106min,UA,2017,F-eMt3SrfFU,https://img.youtube.com/vi/F-eMt3SrfFU/maxresdefault.jpg,Angry
117,Harry Potter and the Deathly Hallows: Part 2,DavidYates,"DanielRadcliffe, EmmaWatson, RupertGrint, MichaelGambon",8.1,"Adventure,Fantasy,Mystery",130min,UA,2011,5NYt1qirBWg,https://img.youtube.com/vi/5NYt1qirBWg/maxresdefault.jpg,Sad
118,American Beauty,SamMendes,"KevinSpacey, AnnetteBening, ThoraBirch, WesBentley",8.4,Drama,122min,UA,1999,FfWnZthD9Tw,https://img.youtube.com/vi/FfWnZthD9Tw/maxresdefault.jpg,Neutral
