Song_id,Song,Singer,Genre,Album,User-Rating,Emotion,videoID,Thumbnail
1082,Bade Miyan Chote Miyan,"Sudesh Bhosle, Udit Narayan",BollywoodDance,Bade Miyan Chote Miyan,8.9,Happy,dbkBLTaHA1U,https://img.youtube.com/vi/dbkBLTaHA1U/maxresdefault.jpg
1083,Albela Sajan,"Kanika Joshi, Kunal Pandit, Prithvi Gandharva, Rashi Raagga, Shashi Suman",BollywoodDance,Bajirao Mastani,9.5,Happy,MCXQXuKpgKE,https://img.youtube.com/vi/MCXQXuKpgKE/maxresdefault.jpg
1084,Nahin Saamne Tu,"Hariharan, Sukhwinder Singh",BollywoodRomantic,Taal,9.5,Happy,0JlcMt3l3dY,https://img.youtube.com/vi/0JlcMt3l3dY/maxresdefault.jpg
1085,Goron Ki Na Kalon Ki,"Suresh Wadkar, Usha Mangeshkar",BollywoodDance,Disco Dancer,9,Happy,tC_OcVCndi8,https://img.youtube.com/vi/tC_OcVCndi8/maxresdefault.jpg
1086,Gum Hai Kisi Ke Pyar Mein,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Raampur Ka Lakshman,9.2,Happy,sPiOMuvzSI8,https://img.youtube.com/vi/sPiOMuvzSI8/maxresdefault.jpg
1087,Tu Mere Agal Bagal Hai,Mika,BollywoodDance,Phata Poster Nikhla Hero,9,Happy,vcH5RCEzyD0,https://img.youtube.com/vi/vcH5RCEzyD0/maxresdefault.jpg
1088,Aashiyan,"Nikhil Paul George, Shreya Ghoshal",BollywoodDance,Barfi,9.6,Happy,OuNGySNJjWg,https://img.youtube.com/vi/OuNGySNJjWg/maxresdefault.jpg
1089,Pyar Ka Anjaam,"Alka Yagnik, Kumar Sanu, Sapna Mukherjee",BollywoodRomantic,Bewafaa,8.7,Happy,I8bPnPJS4Ew,https://img.youtube.com/vi/I8bPnPJS4Ew/maxresdefault.jpg
1090,Ay Hairathe,"A.R. Rahman, Alka Yagnik, Hariharan, Mohammed Aslam",BollywoodRomantic,Guru,9.5,Happy,038jmlSH3iM,https://img.youtube.com/vi/038jmlSH3iM/maxresdefault.jpg
1091,Phir Kya Hai Gham,Shilpa Rao,Bollywood,Hichki,8.5,Neutral,NGhJSZ8crqI,https://img.youtube.com/vi/NGhJSZ8crqI/maxresdefault.jpg
1092,Hip Hop Pammi,"Mika Singh, Monali Thakur",BollywoodDance,Ramaiya Vastavaiya,9.4,Happy,bcj5a_4hMQ8,https://img.youtube.com/vi/bcj5a_4hMQ8/maxresdefault.jpg
1093,Jab Se Mere Naina,Shaan,BollywoodRomantic,Saawariya,9.6,Happy,jUfsdDJFYXI,https://img.youtube.com/vi/jUfsdDJFYXI/maxresdefault.jpg
1094,Race Saanson Ki,"Neeraj, Sunidhi Chauhan",BollywoodDance,Race,9.3,Happy,n-bsPnT5ZpQ,https://img.youtube.com/vi/n-bsPnT5ZpQ/maxresdefault.jpg
1095,Tu Chale Toh,Papon,BollywoodRomantic,Qarib Qarib Singlle,8.9,Happy,tFDDcUi7hrI,https://img.youtube.com/vi/tFDDcUi7hrI/maxresdefault.jpg
1096,Chori Chori Chupke Chupke,"Shreya Ghosal, Udit Narayan",BollywoodRomantic,Krrish,9,Happy,#NAME?,https://img.youtube.com/vi/-lRjtbApg9I/maxresdefault.jpg
